date,Canada,Australia,India,Pakistan,Ireland,United States,New Zealand,South Africa,Singapore,Switzerland,Austria,Germany,Bolivia,Uruguay,Paraguay,Venezuela,Colombia,Ecuador,Peru,Chile,Argentina,Mexico,Spain
2006-01-01,42.03593092459454,48.11801266872926,69.3373712633592,0.04746828920661771,38.471126529244906,38.51120081887523,17.280945957853454,13.851339662495969,28.113903035614953,16.90696357947051,16.336045348131265,52.20797776637388,20.033308030787413,0.070107009697658,33.43568224729481,31.25303933842366,22.79365137360807,28.54144031473848,14.831104369236197,32.38364458034941,14.810442393710208,36.52887447649768,46.624002226830775
2006-02-01,44.60004938494101,31.992503770553387,41.50614689810331,31.89809739329767,62.484471216552066,40.425907218254316,23.506872050617407,30.111341419642333,29.127338505203554,30.679822780688017,33.67007789865833,54.74083094493108,59.9709828554495,13.537757481887757,0.13825028988620866,33.06382711690004,28.34969168033038,40.733260559534784,34.083641974469685,16.82811281764518,32.43055515958518,57.24343093167736,71.23854638067986
2006-03-01,53.67673558949148,45.23883989704701,44.74534204712467,24.958708849248328,19.206199944026725,46.88647272532723,17.1898228656863,6.377352803728499,41.42072624116448,23.180308118038624,32.727045909360605,56.105296737712365,37.85654766128293,6.7200066560198835,0.07418425121907894,40.895459414969466,56.94146408250644,19.239450881055845,18.20499803430488,44.25023208356422,26.247605898774673,47.67634780161842,56.13456666741966
2006-04-01,30.39813824273091,50.64257378103489,44.81013952010745,16.099701041897955,25.77555856812053,49.48840873781946,26.238280704715155,33.674038897923076,18.324217182593056,26.434677399164155,26.510129092847183,59.06107415765896,35.956284276732724,9.178006034140168,27.31361848191239,38.56990866964541,58.61741563604251,28.788121226964883,6.39583352844088,42.2176604866288,39.51685718584014,38.836707769656336,36.1685895784086
2006-05-01,48.91521942062145,46.840355444370694,32.46870462686708,16.690427153010432,30.100070594806393,40.5625974311664,22.072855130837226,21.309169156202938,40.26691568808666,19.592701805184635,16.37603244241705,56.7053776722824,13.373671269587652,4.863295722265771,0.03224627068765683,74.51453809754307,32.79355008353164,48.87966387275394,30.399777647635908,25.839853293093974,33.44867910576018,37.46248094067943,45.66318790128469
2006-06-01,29.444411420843768,36.10064942407562,41.30017863225296,38.988385496044586,36.471933441219,43.34553802575445,26.225560249854045,9.165944623303767,49.33553388746055,16.84512887071752,31.728342807558743,44.04834766354882,17.225684330663242,0.03792026506467011,0.029240045390255376,36.92845656285068,22.99186531748625,10.556424511517479,17.04224774849564,19.255292185313067,34.673706049193015,35.02511919145227,36.010713356955954
2006-07-01,35.551452575306556,26.070534133195462,39.858937317819134,3.4842036615410787,28.36128101850542,34.89571097531734,17.520384508917132,23.001159010810586,18.77408188979234,14.296564963213171,27.99487507537489,43.40884343565606,16.508060374254494,12.597534731077104,0.0893177943603648,22.441118885688013,24.829126237472813,9.727210721134435,27.906378444353123,13.38759652372417,53.19559838499829,63.44275485662731,35.25713690821427
2006-08-01,33.168414877189434,31.563164446915916,43.292018591196666,0.09361645985831435,31.45540188537038,56.192976309610884,37.667808336891916,7.481308929312536,14.74363967050415,16.452871765601618,17.741572146051855,49.334574644719915,22.004639705430446,11.068725116435376,0.10020096466610445,49.80458667441367,41.52677555652583,25.31410697404841,27.832809590766367,16.12842033015287,21.266913406483255,32.31223857887551,40.76337789773695
2006-09-01,33.79660107174813,38.15080520882926,29.143963677993323,13.925936261724742,22.854972824903573,36.261386795367834,16.99778180754443,16.75641241224389,13.759694845956544,12.715923836411092,43.91563883726576,55.657294811424414,27.37928710298764,0.04701329010897957,0.061583912893580534,70.91556517719613,40.4010028692108,31.166993621727954,35.0078243088993,37.80958711054227,37.446336887437454,13.920424935985357,54.394046346263295
2006-10-01,26.422501494474847,34.088924682155074,41.957202574636895,28.742850625355683,19.790684651316205,45.3493976103609,20.738481504851972,21.28880717620062,39.94992071901253,55.16855117421773,37.90827082994586,41.63661793000946,43.43463380442199,18.662237006248947,0.050179981365551775,28.15986954531046,51.97267177999722,18.100381255755952,18.559907960235897,33.28822392809768,36.0623783971855,25.185477410067925,35.09424345213057
2006-11-01,42.67238067015435,29.58552955825336,38.659718531115416,2.4252959774791267,39.512097957953266,39.93599915580446,25.532555664881418,17.096625344310947,36.331935373976044,18.99074134860176,35.267755127861015,46.60574451811873,20.802000681679594,13.9254162762845,10.916050964633556,49.31828072419845,19.296972605397052,21.21042682890146,14.10384098259613,23.512553526557404,40.14203291973031,41.21105211123958,37.10870580012384
2006-12-01,32.87144293761997,60.94811528991675,28.563134789197605,13.434089178655158,46.920096328750816,40.60418108480163,43.58368613700813,33.26727808175709,37.954509298840314,32.094152494882344,23.023585370315217,39.29375061387115,16.349192058485514,3.796471344083185,0.12560862735456169,26.12213764738261,21.07565347326963,32.01378261638733,22.29501317821076,21.700691161630527,21.62722678878622,59.96070609652877,36.315613765596225
2007-01-01,28.23561832044402,43.13759163523323,36.93891717947152,17.309597647962295,27.314696426240374,49.39435807642405,26.66083560023758,23.62276421443684,18.740186340861392,19.7593803390419,37.30173209404263,47.60271206464713,31.6467541113059,12.612953866472521,9.411658223270782,50.26783801470155,34.74157145066441,26.554954407194522,11.03550308692658,36.58459182525981,21.92231772149034,32.953640648166996,28.05662665312599
