date,Argentina,Bolivia,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela
2006-01-01,32.18607146,23.51187877,35.55513733,51.16375693,38.14588419,51.65914504,23.47962258,37.30248265,22.60113817,50.74176409
2006-02-01,31.76827522,35.19927684,41.47624173,42.87001989,27.26856855,59.06830933,24.64109606,26.07255999,24.33540119,52.02107469
2006-03-01,41.68541152,28.18874351,42.16247785,49.09094734,31.11573348,54.78414463,9.615556094,35.82943477,23.3270094,48.59083827
2006-04-01,39.9197943,23.34585607,39.00609544,43.9103605,33.15624018,57.94234392,6.873715351,34.29637917,16.98532858,48.95591527
2006-05-01,36.19220164,37.40273022,35.48341927,39.32158101,31.67406976,53.07883372,24.71385637,30.01745032,12.93587569,42.47365436
2006-06-01,41.81930193,28.53845373,35.46167138,49.83954826,31.01014541,46.41677728,23.23042457,28.48509506,21.95716971,48.04445812
2006-07-01,44.71482787,24.57028115,33.78000607,40.52847128,28.07104051,43.58189275,23.14403049,24.21003882,13.69281099,39.2876826
2006-08-01,36.48762486,20.96943478,39.13150352,36.53363626,34.06963974,46.70132237,22.69253891,30.42072861,13.71699261,44.99172709
2006-09-01,40.72186126,26.18812279,36.95952259,36.83361321,30.43636026,38.82950946,24.45452876,27.23588788,22.159189,38.45025326
2006-10-01,40.13401904,29.16147763,31.80032,40.25081265,36.25426875,48.72411559,22.28518629,31.71201695,12.68213927,44.3389161
2006-11-01,35.28838488,25.22869176,29.32627863,44.9969558,30.58540083,49.41774493,19.47391363,27.18548913,14.59080345,38.69645457
2006-12-01,30.55751623,39.80816701,29.90455799,29.67028948,31.72975328,43.94805758,17.50704804,22.20654753,15.29023724,36.63281939
2007-01-01,36.23237042,29.70277255,27.63699381,40.21295628,27.49992063,38.26489393,16.09105152,32.99739486,17.41030138,41.43449307
2007-02-01,35.82755272,25.52622168,34.59843168,32.591254,39.26660193,39.75118844,10.16963006,31.30290771,6.051152454,32.100054
2007-03-01,30.10302904,26.06066456,25.57283455,31.15462479,26.75841753,37.83825342,11.54486696,25.07934953,13.38466753,37.31097317
2007-04-01,29.62754248,29.36943529,31.13589198,29.86669768,35.239296,33.93122016,24.5725422,25.53276593,15.19443323,30.19594085
2007-05-01,34.50731545,34.11463184,33.59525021,35.57871141,29.58934368,38.92074689,19.10643872,28.04588659,20.09005345,34.24073346
2007-06-01,37.74421555,33.65735029,32.35396103,37.78453827,22.17753192,42.46133413,20.37742977,30.40675978,20.27306226,32.21043138
2007-07-01,36.26211016,30.73055074,36.55292459,32.90431944,28.24467846,43.99859286,12.03005265,26.64367202,29.06129957,36.91935022
2007-08-01,35.54265206,28.17369914,26.97175595,32.93019273,31.42505694,34.54766432,20.92282089,29.38533332,17.72735387,31.20883587
2007-09-01,33.28427356,31.43814523,27.75218002,32.06044306,27.48132746,39.02264008,17.19016247,25.1725513,19.0583345,32.78063119
2007-10-01,38.25899707,30.99528091,37.77672024,30.44387139,33.0096059,41.98514881,14.442085,31.24927334,18.00494069,35.72505923
2007-11-01,32.88769547,26.89047611,29.6163219,34.1229965,32.12351917,43.75763258,11.1647775,30.24339342,22.07414399,34.57231288
2007-12-01,27.66958165,26.88425524,25.61796062,29.60212283,34.38361319,41.32836331,10.48890172,27.87965248,22.04278267,41.07767792
2008-01-01,38.5621762,27.31360259,29.40938703,27.65306268,34.07099199,40.57850051,17.78531648,29.42665646,19.59099498,34.21529535
2008-02-01,28.88244661,27.78745811,21.36038361,31.33729273,23.84833986,44.13148553,17.28764565,33.02984807,21.36306251,31.23913783
2008-03-01,31.05159979,30.33821382,27.38516004,28.29070423,24.59656099,34.70906184,11.84993457,33.44769935,10.81324175,31.09518931
2008-04-01,34.55693074,32.17505864,31.69077382,32.0829157,33.41456335,41.88562923,16.79952491,30.77957893,31.03541113,33.62693508
2008-05-01,35.79291911,29.10093678,30.82679052,28.54006311,28.72049429,37.03295113,16.22163274,26.71500476,30.07306567,31.50484276
2008-06-01,33.01147969,25.79170512,33.95538918,30.41352239,20.80606457,37.34562194,17.18436045,26.9587458,26.86021902,32.76844819
2008-07-01,31.73051113,33.76812249,34.97542185,26.5363907,21.60850284,32.88318486,19.01307781,29.32049762,22.27407705,32.7416819
2008-08-01,26.44912984,26.70485403,27.5473889,24.70275137,26.80391956,38.05013203,18.93875454,24.60215165,23.8371888,24.17729141
2008-09-01,29.70872395,31.8962374,28.38525231,27.16681995,26.86431742,37.33595853,14.39087301,26.64339121,24.09340084,26.26137084
2008-10-01,33.99478309,28.4233442,32.30986727,26.73459332,23.91713523,39.8119885,14.71928733,29.0704006,21.64417631,25.82791776
2008-11-01,29.01870423,30.24181861,31.15287835,27.65335134,24.15796579,39.15139332,13.51374463,27.87955504,23.45134543,23.28066613
2008-12-01,32.09965137,29.82820299,27.95102693,31.09894203,26.77401399,37.82578032,14.17932407,35.76287646,21.73178441,31.44271913
2009-01-01,36.77335744,22.14168109,29.38494795,22.05018273,26.78092876,31.7610862,15.20367391,25.93783187,23.47702894,31.49164065
2009-02-01,36.2890285,26.95870496,31.59216617,27.39517884,31.63795578,39.28071881,14.89173918,36.17251641,19.60600142,24.83088778
2009-03-01,30.33874859,32.50693642,29.83268562,25.50350571,32.18011912,37.21874156,16.1296621,38.09374525,27.13357018,26.42734574
2009-04-01,27.26742507,32.88027599,28.32924829,28.05413085,27.32440984,28.85408472,13.84720524,32.86732359,18.27992709,28.86066507
2009-05-01,28.40261639,26.31553457,24.75840717,29.23468872,24.04229202,35.67173841,12.77026277,30.07269245,25.38249065,28.3879429
2009-06-01,33.89272744,22.30813145,29.31514243,26.63794481,26.41520201,34.88901732,18.78773433,28.01837525,22.048713,30.82730684
2009-07-01,32.73743678,25.83454795,28.2926669,28.62300966,24.60177382,33.2411027,22.67690329,29.71853106,24.17321558,29.20558639
2009-08-01,32.81955308,34.55603241,29.67130282,26.79131558,23.66742562,32.89792533,11.50880622,30.24647415,20.6806199,28.91665535
2009-09-01,28.82714572,29.63436352,29.45254004,28.78588429,25.41394138,33.09971734,23.05270686,32.04822605,23.86501728,21.28041228
2009-10-01,34.5128697,32.56136954,30.1169082,28.03119259,20.65894926,37.12456019,15.62474156,29.40020469,18.99394747,26.84767178
2009-11-01,34.84709841,31.10740094,28.70488469,27.04596321,19.79595796,33.08644478,17.16891949,28.30041442,19.35232348,29.03808148
2009-12-01,31.46304476,27.84148239,29.72117919,31.30657048,24.12613435,33.62449305,11.80693732,32.02410934,22.87872485,34.9428879
2010-01-01,33.15521161,30.08983584,30.92888248,36.39986578,21.25136816,29.45803355,11.99478281,32.58045659,18.82979464,31.29891562
2010-02-01,30.94100223,35.44599591,34.46798723,27.27849378,20.08160179,27.78914372,17.17005369,29.62515772,29.22942081,28.19132477
2010-03-01,39.78123541,32.41379651,21.3207341,25.9906003,20.90811448,31.26538862,15.30931087,34.81371192,25.76631228,22.72858375
2010-04-01,31.87804581,26.71506836,26.41551414,27.57535738,25.6845766,32.60113665,16.409216,31.95691683,21.95690922,27.41502162
2010-05-01,28.67143553,30.3595401,28.81579963,25.72413348,22.05990504,29.1484241,14.87637,32.18970613,28.62610131,31.52308822
2010-06-01,29.93154376,32.24367811,28.64170607,26.08835451,23.46549082,30.25324678,18.50357044,33.96172844,17.98370994,28.55467122
2010-07-01,32.35570965,29.43577149,28.20043241,26.85588095,23.113775,28.55414497,13.9006151,31.07665477,21.10942722,25.99580709
2010-08-01,34.37638776,36.31504908,28.85957143,27.00471504,20.78614759,30.91022653,11.11716943,31.02579915,21.06494749,24.96434438
2010-09-01,33.69649372,29.11757294,34.38048815,22.64222049,26.9913795,28.77338933,14.78855623,29.25686739,16.35625828,22.80142086
2010-10-01,26.72673263,28.17610724,29.25721731,27.39778305,23.36896951,26.97377918,13.93240898,32.21873322,22.41876656,25.47537352
2010-11-01,28.53230955,26.52940563,28.39425157,30.15704066,22.42302044,28.97822189,23.44420729,31.25289321,20.80288815,23.71692274
2010-12-01,29.36262345,33.05867509,28.83461058,31.0124316,17.9972728,32.96630828,16.36302234,32.56946206,24.24568799,23.82286583
2011-01-01,23.53828972,29.3497748,22.89845551,20.62004632,15.37017189,22.87753701,12.24143359,29.22108078,17.68914972,22.13863258
2011-02-01,34.16736091,25.2893021,23.11059942,22.23190192,16.98512429,24.1881859,11.75109344,27.22332446,17.79145718,25.65145013
2011-03-01,24.71793049,23.70975744,25.06466183,24.00940494,18.90897792,29.00051267,13.65397958,24.88115172,16.42137341,22.32716718
2011-04-01,24.34265301,26.66789167,21.37756416,19.61680108,18.04983507,21.19929958,14.54272448,27.2753675,16.50970836,23.31363542
2011-05-01,22.57366445,25.15230183,26.89034575,22.76393724,17.28373716,23.63475132,14.58832463,27.37571237,16.44458109,25.09758163
2011-06-01,23.82672826,27.25090893,24.49314254,23.04313052,15.73520908,26.80063366,13.71524119,27.89175366,15.44537235,26.79633084
2011-07-01,21.179382,25.3691835,24.64143523,20.90829474,14.99863229,22.4604084,14.18691043,29.18989147,17.50281722,18.27432226
2011-08-01,24.09323075,23.60892894,23.04329849,22.53779061,16.0524995,25.26178548,13.17497189,29.08902422,17.06353848,22.03405482
2011-09-01,22.92429518,24.36872881,22.27642535,22.42870199,17.14876878,27.28371301,14.02067743,26.35864957,15.43070991,21.14687209
2011-10-01,22.70748108,21.95238149,23.72444,19.65900532,16.93733709,23.05598425,18.36034498,24.99577403,18.96945053,23.54761763
2011-11-01,26.38131351,26.06640963,23.51661942,18.73259486,16.94908665,23.81210776,15.20419997,27.06648718,15.77109071,20.62139931
2011-12-01,27.30336345,27.25432196,25.97216438,18.48034773,16.4280486,24.90905274,15.77617009,24.95786503,17.57739575,21.07859699
2012-01-01,28.37920642,23.7016856,26.5404954,22.41353566,16.20327354,24.24536808,20.06823054,24.4938653,16.93628639,22.80804102
