date,Bolivia,Uruguay,Paraguay,Venezuela,Colombia,Ecuador,Peru,Chile,Argentina,Mexico
2006-01-01,23.511878767806856,22.601138166369793,23.47962257623539,50.74176409163728,51.16375693023174,38.145884185213184,37.302482650570646,35.55513732905579,32.18607146246269,51.65914503706754
2006-02-01,35.19927683629178,24.33540118735545,24.641096060893805,52.02107469456094,42.87001989184855,27.268568549222092,26.0725599939028,41.47624172592811,31.76827522060863,59.068309325579115
2006-03-01,28.188743507391415,23.327009402984963,9.615556093613181,48.590838274826055,49.090947341291375,31.11573348238896,35.829434767374465,42.16247784749296,41.685411522442564,54.78414463275956
2006-04-01,23.34585607236011,16.985328576568964,6.873715351430658,48.955915271180835,43.9103604975553,33.15624017615826,34.29637917278719,39.00609543921023,39.91979430066307,57.94234392176905
2006-05-01,37.402730221131584,12.935875687096113,24.71385637458604,42.47365435788912,39.321581006721225,31.674069755686265,30.017450321748814,35.48341927010089,36.19220164221659,53.078833717148534
2006-06-01,28.538453726802892,21.957169710427895,23.230424567716,48.044458117044634,49.83954825931171,31.010145409431672,28.4850950637644,35.46167138421626,41.819301926258795,46.41677728277667
2006-07-01,24.570281149815077,13.692810994522802,23.144030486520695,39.28768259599571,40.52847128398083,28.071040512597968,24.210038815546827,33.78000606885317,44.71482787234396,43.581892747692045
2006-08-01,20.96943477763535,13.716992609920641,22.692538913262958,44.99172709325241,36.533636262128795,34.069639744825466,30.420728606920612,39.13150352422753,36.48762486443766,46.70132237218531
2006-09-01,26.188122791467134,22.15918899523436,24.454528756891868,38.45025325926025,36.83361320675493,30.43636026123272,27.235887875843876,36.95952258537916,40.721861262220735,38.82950945504806
2006-10-01,29.161477626441922,12.682139274589431,22.28518629095202,44.338916104714784,40.25081264884191,36.25426875092695,31.712016954343518,31.800320003288014,40.134019035121625,48.72411559345273
2006-11-01,25.228691755024652,14.590803451702785,19.47391363463976,38.69645457050002,44.996955804613954,30.585400831878392,27.185489126403706,29.32627863382486,35.288384881784616,49.41774492888023
2006-12-01,39.808167005340124,15.290237241856168,17.507048038286843,36.632819393364066,29.670289476111975,31.72975327718726,22.20654753470598,29.90455798830837,30.557516234519184,43.94805757926087
2007-01-01,29.70277255169528,17.410301383162423,16.09105152409672,41.43449306854781,40.21295628376794,27.499920633566376,32.99739485892715,27.636993814252424,36.23237041931504,38.264893930560234
2007-02-01,25.52622167530493,6.051152454056118,10.169630058705152,32.10005400217204,32.5912539983726,39.266601933720445,31.30290771327729,34.598431684887096,35.82755272192252,39.751188440722
2007-03-01,26.060664563518593,13.384667534314278,11.544866960338682,37.310973173080484,31.154624794296662,26.75841752861585,25.07934952747261,25.572834546836248,30.10302904051001,37.83825342251999
