date,Canada,Australia,India,Pakistan,Ireland,United States,New Zealand,South Africa,Singapore,Sierra Leone,Liberia,Ghana,Nigeria,Cameroon,Ethiopia,Uganda,Rwanda,Kenya,Tanzania,Malawi,Zambia,Zimbabwe,Botswana,United Kingdom,Sudan,Namibia,Switzerland,Austria,Germany,Bolivia,Uruguay,Paraguay,Venezuela,Colombia,Ecuador,Peru,Chile,Argentina,Mexico,Spain
2006-01-01,3.493357279527304,4.651718361712503,2.7038264863193913,1.359231203291844,1.0211111853317627,3.991014757589795,1.4123148949438111,3.2497102245452614,2.549472669660441,0.009689067326255579,0.0038766186977705237,0.2852910996895488,1.508178781780754,1.00356714257604,1.2024429121975015,0.7452629711103274,0.008694129427274556,1.1354067292004928,0.009572528093184651,0.0968194842838214,0.00530495766345104,1.2328175458720583,1.275285334205527,3.8427517772859203,1.2581478762583391,0.9310937971899081,1.3436853279916545,2.7011009578903047,3.617451475295229,1.6347009137440756,1.9903700128141693,1.5842789543046953,3.8785772440447635,1.6150486243781614,2.206390956674631,2.2349457698964788,0.9812711295632031,2.697954342699888,4.250627968089898,2.5062146427895575
2006-02-01,2.533367943407672,3.0950144659166807,2.5436910757313815,2.7627638028544554,1.8457780021431527,3.3936761304759373,3.4185488115363643,3.207645688197941,2.1856986360124107,0.007465727900932842,0.007512426565677454,0.006715615958018158,0.9191214067572474,0.9797696955622749,0.320892294837462,1.1182388205989604,0.007555804429500014,1.5664755864930426,0.5507573279163939,0.0963572707708717,0.7876772847597674,0.42848275714958667,0.009583899819525735,3.088029215049241,0.004547380256382275,0.7964030770246284,2.198092858978759,2.937177603128187,4.49097107899206,2.4470341387533896,0.4354033072273406,1.9184888492520324,2.7696526024541734,1.9714614464242866,3.773437582478328,2.2049137140358592,2.1951035385428486,3.37475642068135,3.095708347953929,2.3830518555963387
2006-03-01,4.4033744829294115,3.530736106249687,2.6468885310453563,2.7734989863409467,2.156608520276347,3.720839817786682,3.397505608753631,1.0192016488399367,2.389136955141009,1.255660434083748,0.009608472916004045,0.227035206284475,1.2221470344931715,0.7324673228416382,0.2509004701009877,0.8303558173077531,0.007035010521579534,1.4171890169960106,0.7179552380893003,1.3512947635892192,0.006916341960203166,1.9433454973816222,0.9839573699111245,3.3008228900115992,0.44595645208652346,0.00544825569520334,1.8980058619748819,2.922568552856278,4.250306400088806,1.2696403440384878,1.2017394139830417,1.1828408977977611,2.4375872244542958,2.8042384660985373,2.1974402358672767,1.8212253270629573,2.8757231567774166,4.0469702587635865,5.527221359267646,2.854296138277339
2006-04-01,3.255038229776822,4.341574595240723,2.8476300999646873,2.3833750337906676,2.328341152878397,3.5131959677204874,3.524369109864364,1.2972707599952065,1.809517415351548,0.010441457766453045,0.008906116923861845,1.118030205135019,0.5769209192289022,0.009176491668475506,1.2775447950666636,2.074164996150572,0.006176316552518516,1.1766850611620319,0.8331820064054708,0.0984755794079132,0.007914991463700618,1.3358172402054138,0.010468944364424014,4.089183630579873,0.5268648867649122,0.0044250666133575055,2.1721454005029632,3.0652740885046117,3.8998669355024784,1.5204273638236523,1.2947670222307197,1.1245006707166652,2.251235537761493,2.7650311179577853,1.7643764172764902,2.288171168740259,2.4743395984178864,2.9149978096416813,4.929644846656506,2.4377916445409054
2006-05-01,3.60971094498495,4.586060138073297,1.4180014005483481,2.6049911408168804,1.6237251485318267,3.4379266289432975,4.131106327295907,0.8794472196077042,2.4833780378090426,0.008964803271606486,0.0039427705169160915,0.4773345006150817,2.172384556963868,0.006216166078931907,1.4381906526885537,1.0350361649209256,0.004164154298320406,1.443876839018857,0.9203816209737102,0.7445119346256909,0.00572621238760998,0.005360435902700909,0.011895926305381324,3.401883005629256,0.010935869364305724,0.5342130238928116,1.8924896204883017,3.441404922404253,5.046702078529821,1.522670300018637,1.2020471626041163,1.3955265027568455,3.1921175579453465,4.018155214566748,1.598390694616182,2.212286433511092,2.832590776458317,2.9974332770119365,3.508040853911972,2.6661459295955656
2006-06-01,3.7443955635627515,2.5666140525652508,1.9347387077866556,1.8453531981087288,1.7902722076799724,3.649294673234935,3.140090274617419,3.3213871729357507,2.479775988809156,0.011289967596580698,0.004887904013029425,0.5727093487891163,1.7163688014525094,0.006060910501666049,0.37353873163929574,1.0226802181759866,1.255920436004208,1.3589625319371734,0.013359097878370174,1.2033284427710746,0.6727325565039058,0.6593782254125191,0.014502416456400904,3.762733962747926,0.010649563082722944,0.010843991239219614,1.4686639160532347,2.569645063529986,5.090417699225861,1.737934260405416,1.496245318607395,0.8295138384580698,3.2499160171013424,2.980605623768242,1.9632534064228753,2.015423821966245,3.8728541939971572,2.5460904609588058,3.3270371293785894,3.8434029183358875
2006-07-01,3.4923555742393857,3.4420952611968687,1.8218716418773153,1.9802053281000307,1.9105826376654789,3.1839185312116878,2.0369239101881087,1.8902858080270364,2.182128554839448,0.01078974752078518,0.014459503358292842,0.4998192728769537,1.415763648003123,0.007433608526870851,0.3848114269331567,0.8386698944219937,0.005907225165436842,1.6199412106378235,0.8334963063696665,0.09923571040953609,0.9161639046908993,0.015081335818904631,0.012606883304629213,4.954247801424802,1.7940693455761303,0.005687864826674375,1.8732370901629523,2.799303220029003,4.928134778010308,1.5959875171711946,1.836404986850155,0.817148740850083,3.0211297856124855,3.023105795375516,2.884590623701527,2.328344203866796,2.90915214620517,4.009653448737082,2.8766847617156417,2.0652603137155334
2006-08-01,3.588516791372352,3.8196919485501066,2.1930028897390392,2.4970295046705226,2.308046207676229,3.4961568982904185,3.8759901227793137,2.4654571042697793,2.775761765695722,0.012208338657203437,0.00819673834925201,1.1475838226631359,1.120383490856093,1.0182266611659792,1.3595541622008904,1.0256709383618419,1.2593457884818127,1.5990619572172415,0.013132437516665197,1.3494999597172679,0.00740608507313859,0.402783328375639,0.012663827371456082,3.0570652478282767,0.3899928203928263,0.007499600183229791,1.750550962010337,2.2672444074627673,4.07716176544903,1.9844308551290555,0.23331373418219944,2.053719116534024,2.9984850909280785,2.486273309093079,2.3605594169643167,1.002948356076183,2.3048391259761796,2.5650681170637486,3.007836552137751,2.4996536982231587
2006-09-01,2.591535077337599,2.4991128211022313,2.4568901367280698,1.4016935340958552,2.4826754753575617,2.7966458251459225,2.4577790601700906,1.5309699064390956,2.6376161617966547,0.010961670635577597,0.006215988909655883,2.278351138573593,0.26094298015246464,0.011112466459032862,0.015960527204626443,1.7886741146218683,0.01108180287267704,1.4951835405112848,0.6336679008642815,0.09475739021329835,0.7910178016763578,1.0058879051522491,0.006710518030947995,3.2144774588579366,0.008893771309921783,1.9984980598454496,1.3960496433271652,2.7202983530866693,5.101194978550438,2.1784915836350245,0.7840847396654259,1.1544942056883571,2.3011596452849847,2.6947371847689046,2.2488021719581917,1.969098224415981,3.1914031366300835,4.050903205758263,3.335031426554433,3.2015759247267854
2006-10-01,3.161440638718989,3.9810733929716506,2.39302866585575,3.4819718253249743,1.7666895419617576,3.383275727295225,2.201551092406268,1.38033331518659,2.032348764911339,0.011147699395030334,0.006762582986403351,0.6374576397096375,1.954728380960827,1.9023424683540835,2.177717864648492,1.425852613962544,0.005942719361561613,1.2255846921600073,1.3822497124706485,0.09830862360983643,0.008028934314156947,0.787583479415843,0.011115244684749361,4.070166236069085,0.005663683048854161,0.00797795715433491,1.0578962790120914,2.701906037193041,4.648589725783645,1.536268164001012,1.07206177298009,1.0834613926584367,3.9725742339946213,2.6553918923903477,0.9302207609352663,2.3233234932037665,2.5697401841117804,3.619777117409355,3.967501529091266,3.5351675668161473
