date,Canada,Australia,India,Pakistan,Ireland,United States,New Zealand,South Africa,Singapore,Switzerland,Austria,Germany,Bolivia,Uruguay,Paraguay,Venezuela,Colombia,Ecuador,Peru,Chile,Argentina,Mexico,Spain
2012-01-01,20.299079727741614,22.885830075340653,13.941908791437697,16.43063860652777,17.90303848654818,24.815964219676847,27.550815535289946,19.240582715621585,24.011975733748837,16.4716141572015,22.801575601884483,40.47847136779038,14.862124239961902,14.432887742665173,18.267115633854136,23.361089054502635,30.28430593764989,16.492754152499323,26.262302584438917,21.416603286285678,31.4353994253852,29.558126834539728,21.78701883507458
2012-02-01,23.674810982858368,24.942899103056938,14.91033513432197,14.371862739983573,16.316072096744634,27.247538854034975,23.45689912196171,20.112306847933983,26.4437699799805,18.258881773361637,22.34528888594994,32.96081769344554,19.401902341038504,17.19705435581375,16.329409930884022,19.245992721841937,26.843027103465186,17.83609551083422,27.453024655665033,19.769257228089447,39.63419753702052,26.72388415288699,23.472284737057517
2012-03-01,20.043917184182142,23.633108109184818,16.362649449478923,14.010130049519727,17.625671937043002,30.083184508633327,24.11137544289066,17.408284144377948,20.104852873823276,13.040560806858121,24.757756727328353,28.4889603483952,17.917492017019732,22.577547824914934,15.642722856043576,21.220700652598204,26.891950335205745,15.307696507197061,30.862629958557754,23.76453779879442,34.25972204821858,30.41341387323141,27.93107547769173
2012-04-01,21.863571927944573,22.128611529934446,12.114774333192598,16.169920620837207,27.07943421558481,25.827848100450478,20.81985605526326,14.750645172695533,18.833092145495982,20.473982960579697,19.71119296785636,30.102960457316442,17.7234212492178,18.677241973802833,10.284425729719523,20.002911683399184,21.03976500315554,15.487909647243336,24.284068304387883,19.633852532429618,29.346085794911048,25.684226496978326,22.935019325212497
2012-05-01,16.229344924742982,24.667303131327937,19.30258140173493,16.88086645361666,12.262017691168682,27.228835524218116,15.849389115398834,20.141505327733345,23.794935597948623,15.72656130072992,18.493340915360555,29.796540211840753,17.66307544294932,22.190216664955305,18.55975608546133,22.556721798034978,25.46056084825839,17.909477758141687,27.10841557986009,19.60143976532349,27.621511511655356,25.833225373959117,21.156542767334614
2012-06-01,24.329150364929493,23.21025486510621,13.931229280517483,16.48747975813667,17.757420578331867,25.128023229579977,23.649037251525243,15.619897452854838,27.01335501467327,24.225259203010317,17.37727121130432,29.049349266494335,14.834072646903106,16.492598043961813,18.831024311518494,21.345929501017107,22.090730443436016,14.952117819036319,28.76257792052005,19.236283222834643,29.56803181883267,26.879055208976162,27.244371813247707
2012-07-01,24.295963779415384,23.815819489626985,12.682986460851845,15.42789154521039,18.390156011561142,26.062289014932684,22.747230984651736,11.98822911065817,20.341365620999298,20.777980553079463,16.790562306349493,33.165238759120385,20.073056846921176,17.19142112472616,10.98971025101114,18.101058155364274,21.598696910330514,16.005148170012777,26.253590551560674,19.043377737312234,26.926166348068747,29.467496734472054,19.74863986950766
2012-08-01,22.919199939224686,28.78408208609817,15.346707137885506,14.250985737808621,27.205441359394055,28.828365095110826,17.924035369259386,18.490356208264785,25.27767143188447,23.96161216649399,23.25883983378405,22.702563307726756,13.943093609791239,19.66796955412012,14.815651789514071,14.9563800247748,22.844458155389642,12.563842632079012,28.533289571614013,18.91227102755309,28.098629058034685,28.016996679026217,13.992357366090316
2012-09-01,24.53969046034135,28.319999233707794,12.385756237873137,10.973974122037976,13.485889772599243,29.789111336678307,21.22111443540061,24.643809340452574,21.24656975300595,14.903862091376544,17.705575920586874,30.33364818808733,14.507829515379722,17.241656609297213,14.992100169809929,21.325339483066468,19.833900557793164,20.85933596512986,27.33051425054685,20.488132645662823,20.142963539923244,28.22055501449477,21.75648535795712
2012-10-01,20.36469919946091,23.32463565659348,11.492151920866142,13.289170926634915,11.94008158691783,21.60311679929837,20.834605882308907,26.865264000495777,22.964267801557348,16.033705065366885,19.55463784140859,25.575885752239483,18.42169940141529,14.76878075092485,10.997377670369294,16.611418193808063,17.88824169964248,16.27177574116982,30.338386025965796,21.342892502534923,25.31356142281629,24.539431049922257,19.83784932089431
2012-11-01,16.93320703395378,23.62593823353761,11.569416609046577,13.368510603540663,12.912863085597412,27.0588971362391,21.4242314656729,16.68348510751448,25.217940268760728,16.260185572559788,16.6318564678001,21.434161141246594,18.748266952675706,17.881645121819904,9.106580383997347,15.214337545865511,25.586787061440184,16.336124576945664,24.219636325872877,21.846979121546138,24.4673851119014,23.31825970933181,23.76711396852765
2012-12-01,20.233997166236968,28.972904335168003,13.592153866669973,13.87772298984322,16.427504630252457,23.83114595543541,16.774019208151717,18.878702136459797,19.734738556826574,14.99813887392014,28.531017900899357,25.55071958969073,18.810058439905454,17.383309559576574,8.415086110987449,22.86450554158033,18.451707974032246,18.164874694279074,27.360367288678365,24.362793769435655,21.873316214609666,17.341693020032178,26.055782217654627
2013-01-01,19.96990909806764,16.724235870645956,13.115816515753776,13.611174236509992,11.182216419614313,22.346623854838427,18.324952521550433,14.91744866676651,30.270345132897628,11.322374522159274,18.682588077689815,23.433163759526597,13.182533446955983,14.610995031304288,9.531800795232447,18.252230624568693,24.116339494207924,15.754731085453622,20.06875955106534,19.552512927866175,22.795018893468537,27.423072077626333,21.518551908955423
2013-02-01,16.204765157663207,24.92214406797144,17.834261181685502,15.550785888891188,16.374098176960707,25.60656346945084,22.584140612203594,21.82107172164425,23.024933170870543,17.642505820241,20.120972673004147,26.077617730138396,9.743757850493218,18.885906802189655,14.020236110392888,19.332969980287817,25.000967119967072,16.241042483896962,27.428007664449314,20.25089157813926,29.38084548630948,23.866784695133756,20.184533013723616
