date,Canada,Australia,India,Pakistan,Ireland,United States,New Zealand,South Afrika,Singapore,Switzerland,Austria,Germany,Bolivia,Uruguay,Paraguay,Venezuela,Colombia,Ecuador,Peru,Chile,Argentina,Mexico,Spain
2006-01-01,34.89512162774964,33.17911813614541,37.43748159018589,20.223820898813592,27.67832551243052,35.60310910850512,26.83747494150725,21.795353584239205,21.910880783519932,23.66282188031339,22.608168854235707,31.426085257151257,12.719098556396101,11.505971663556972,7.6765108754118305,41.889070934371055,26.671368341477905,26.25756430574089,20.603920211356844,27.755420985431865,21.039659742521142,44.89803688885446,33.44894441480469
2006-02-01,28.947655349348864,42.14142414664435,36.790814248768534,26.766340238021133,21.548695894216866,33.708879517686064,27.589214783847307,33.22981499664519,24.1785932320966,21.23554109364403,30.991573059164082,38.05157123527204,28.07639715765811,16.674855637976947,10.712001702019165,40.201852126218085,35.366546689224435,23.4450857810082,25.443435176018795,22.176982117733985,31.84312354085231,45.67420726882151,31.937608451503163
2006-03-01,38.31799725205171,48.15713325974538,37.006228965168404,20.6527939189904,28.08779060845633,36.1379116138583,25.22929859199965,24.02795519273946,27.974877111159483,32.58739141706272,18.919161557829685,42.39912210264563,15.99586991647766,15.194102436950963,11.517728099357395,34.27304641189005,34.92169478027947,24.74575714661827,28.5410957006488,28.472989072204896,37.42171359208265,52.30987172243043,35.393438867629044
2006-04-01,31.881067885648704,40.928098193428845,33.04302533355573,17.61318994029508,22.10502371774896,43.20126380265928,30.907667649901338,25.87981087238027,21.099878716105003,13.013621054928835,17.569751037131546,43.07596633390178,17.079576804632325,17.937863334594525,14.374371034425675,31.816411464567405,32.12826941155729,18.250041307648097,20.292460524744833,29.351138652268247,30.58090680412758,45.06203899155208,36.222897683416555
2006-05-01,31.06454346329395,38.71099922103252,26.26389000466385,24.09317537291471,27.44769509843153,33.34060717132568,23.030069509470742,23.374491712623723,22.2665202978284,23.35426515080694,23.793415998676213,42.08517636843793,17.544789520131534,11.981966904095644,13.099422535050222,29.553821408775732,37.22215037715345,18.2889885719209,26.079863500963828,27.963124837673547,26.487946151961353,49.14417973835123,32.92751227385379
2006-06-01,32.62063763402713,35.76693007886695,35.48238698658359,23.59345299942915,26.241177161968537,31.959643183940265,29.833358083843795,24.3188799171429,26.56140786069385,15.026027646755177,24.668582323875466,33.71681681252505,18.115922440272286,13.61327329501326,7.694845823643693,34.45147230260054,32.73465353238005,16.788629510169383,26.02079250065416,22.744141402682708,27.331994394108744,47.49116578651015,28.866279362114245
2006-07-01,28.91839539658171,33.334476167742146,27.194006883196515,32.36655368037432,18.384755667174964,27.648305370685947,23.911330825247084,20.416877285603455,23.229250379990773,14.094478836291787,21.865688187300844,32.916895905708735,14.580535286089843,15.633494007626146,7.8108345336412315,30.068048938493963,19.016479249011773,17.522488281042662,18.528037546744947,33.34699434421105,32.27503051198097,46.65082079272674,23.556911422743045
2006-08-01,28.418097110575726,32.44117366173137,35.81057462130229,21.7237747996595,25.964463758502877,31.923855858966547,30.47434478090708,35.15520455565801,15.217082850314517,23.296178426182944,13.625708298840147,38.42107480351445,12.829210834671139,14.998883983265431,12.161776771070809,33.22225130336477,41.15810133244984,11.61969222229995,21.353032779556415,25.328890126149258,28.729483396225117,33.395373861893574,37.45703004685385
2006-09-01,24.460967310964033,38.9512273370465,25.223046112107944,33.15064049133256,19.04038470879423,27.020954406636495,28.56197776615299,28.149510255120713,21.87468025471824,20.047578432528784,25.917416764235195,33.01594028913674,14.616022554800855,7.620663035051346,12.801108327051892,42.931879834683144,33.032399158958555,26.117328737855054,26.033202396366296,23.391257617444523,29.745933797637655,44.12611292710351,26.802493972186582
2006-10-01,36.09544573513484,33.833739554312515,27.68936594106903,21.306186423810306,26.307385743800577,33.53551093991765,16.881311873739016,17.819686493938203,33.51053650282821,14.030115368309929,22.58910703141875,34.52770930868185,18.916892183139797,14.186831691984121,11.080016021419498,27.91831145237028,36.79878750670193,14.126721342804752,23.402595554059346,29.383309927827064,29.16018429485466,45.763132055142165,30.84238700431439
2006-11-01,26.31121521584793,37.65279947850968,28.357414945128262,22.060310408098825,24.664722683534514,31.223881715217054,39.39632543487747,22.523213123717674,34.25419647940793,24.653734457507905,20.360591705600296,32.170591253142014,14.750410001402276,13.533602891281314,5.188967341668697,26.28302115679495,32.37813145775446,24.660289405882956,19.83044895711015,27.237315345866957,31.138234500983575,47.82649355025486,22.90521787951846
2006-12-01,33.04506662572475,36.50408893311758,31.023723027940683,19.011245612573504,27.865899599463216,30.82625080584693,31.54012696858172,28.496412540453083,34.31476812672994,16.634291490774714,23.131875291387637,27.899763015182895,25.400020687634907,7.245386515644537,4.16034353553954,28.962853094079616,17.615731337813536,20.340428257604316,13.572059509443399,25.293780882448708,19.12339086500384,44.83728910814462,27.40648258557621
2007-01-01,26.6450206334565,35.14295896059708,28.494078796447653,23.011844608297515,20.03964427133166,30.617045527742466,15.991924918638038,25.747839411828235,32.495488789660754,18.584752976412215,23.49389287768118,28.636296126625208,13.700876628592527,12.553567978772541,10.739068871925609,32.94440468731813,28.119837668668385,16.719861431521398,17.97788928461615,19.663964101638168,27.76176623550333,26.14570812237301,31.818537473092395
2007-02-01,30.834983113366352,36.37105286193352,25.664793131411805,28.369428606561204,17.202275423759446,32.32925067093358,29.140477306338102,17.962341642430506,23.428758442943867,24.635123509589807,15.957359012655765,32.84180581392794,14.81785597485041,6.987956691238663,9.980668941167142,28.36216878308445,27.197170262523276,30.16305736185655,12.776765014574085,16.554152335197173,18.960000137316452,36.975804285081374,31.03810764575439
